event_message,event_type,function_id,id,level,timestamp
shutdown,Shutdown,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,c5a6e39f-5c45-4657-b9e9-08b8b061f93b,log,1773666524818000
shutdown,Shutdown,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,744ffd1f-9686-4692-b544-c48d200e1a28,log,1773666521654000
booted (time: 33ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,2d2776cf-2501-4f30-a926-426d00da8b3f,log,1773666515898000
booted (time: 33ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,412d87bb-d1c3-42b7-a35a-7b68fdc69d9f,log,1773666515890000
booted (time: 34ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,e2d39b52-dd9a-41b7-8761-67c5c2363f40,log,1773666515889000
booted (time: 36ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,dafb8b95-472a-404a-99e7-6cec52a41773,log,1773666515883000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,052bc628-e595-42dd-ac1a-a4d9cccae4f7,log,1773666515882000
booted (time: 26ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,3998253b-7747-47a6-93f0-c7bf8f2b8706,log,1773666515880000
booted (time: 29ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,b8343949-051e-4ada-b8eb-f1a4653fa181,log,1773666515868000
booted (time: 29ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,4a9a74dd-7d56-4b00-b60d-d9b76d147f7e,log,1773666515866000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,701ba372-8e00-4787-ab9b-5b0d090a9e56,log,1773666515862000
booted (time: 28ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,be07d6e4-4b1a-4cc8-a969-6bfe5a8415eb,log,1773666515860000
booted (time: 21ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,4a991536-478a-4322-949c-b35b52106b99,log,1773666515858000
booted (time: 36ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,95641215-691e-42e2-ba03-f5f34654e35f,log,1773666515587000
booted (time: 33ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,1b89c5d5-a000-4141-8839-cd66f9e77e42,log,1773666515584000
booted (time: 24ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,96d387dd-1517-4cf1-9212-63e56b7b3da9,log,1773666515581000
booted (time: 30ms),Boot,51b142d6-c70d-4c3e-b4bf-033a1f266cc1,65ba26f7-1ccc-4e78-aa75-7395454e90ee,log,1773666515481000
